epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1414.18,1.61483,1.60596,1.93497,0.66806,0.63314,0.67292,0.31463,1.66369,2.003,2.14464,0.000666406,0.000666406,0.000666406
2,2832.3,1.55933,1.61205,1.886,0.78789,0.6524,0.76111,0.3734,1.6604,1.58159,2.0837,0.00131108,0.00131108,0.00131108
3,4272.09,1.50686,1.53948,1.83385,0.84123,0.73549,0.83377,0.42467,1.59404,1.35214,2.01122,0.00193375,0.00193375,0.00193375
4,5711.69,1.45627,1.43136,1.79053,0.88391,0.80312,0.88133,0.48733,1.49116,1.17916,1.9015,0.001901,0.001901,0.001901
5,7150.94,1.4215,1.35807,1.75898,0.87318,0.78612,0.87957,0.51673,1.37643,1.07925,1.79633,0.001868,0.001868,0.001868
6,8590.66,1.3756,1.30577,1.72758,0.903,0.83076,0.90859,0.5437,1.37522,0.93113,1.77099,0.001835,0.001835,0.001835
7,10031.1,1.35492,1.24154,1.70728,0.89392,0.85345,0.92185,0.54235,1.39745,0.95235,1.78478,0.001802,0.001802,0.001802
8,11470.8,1.3372,1.21831,1.68475,0.93178,0.84207,0.92287,0.55317,1.37446,0.83511,1.7559,0.001769,0.001769,0.001769
9,12908.2,1.31951,1.17824,1.6681,0.923,0.88385,0.93765,0.56888,1.31972,0.90405,1.70837,0.001736,0.001736,0.001736
10,14280.4,1.31369,1.15171,1.65803,0.93584,0.87803,0.94305,0.60286,1.25723,0.7421,1.64222,0.001703,0.001703,0.001703
11,15678,1.30081,1.13531,1.64892,0.9218,0.88486,0.94225,0.59076,1.28387,0.79335,1.67553,0.00167,0.00167,0.00167
12,17030.6,1.29065,1.12041,1.64265,0.94158,0.89038,0.94478,0.60692,1.26092,0.69579,1.6444,0.001637,0.001637,0.001637
13,18402.1,1.27764,1.09945,1.62547,0.94566,0.89966,0.94888,0.62235,1.22532,0.65815,1.59547,0.001604,0.001604,0.001604
14,19774,1.27309,1.08055,1.62482,0.91493,0.88881,0.94371,0.61053,1.19555,0.71042,1.5907,0.001571,0.001571,0.001571
15,21144.7,1.26504,1.0645,1.61504,0.95467,0.87748,0.95215,0.62628,1.19546,0.63427,1.58685,0.001538,0.001538,0.001538
16,22515.7,1.24142,1.04145,1.59583,0.93712,0.90776,0.95027,0.63889,1.17818,0.64158,1.56754,0.001505,0.001505,0.001505
17,23867.4,1.24699,1.02828,1.59144,0.93791,0.90931,0.95798,0.63284,1.18657,0.60736,1.55431,0.001472,0.001472,0.001472
18,25238.6,1.23133,1.02035,1.58497,0.95133,0.9051,0.95601,0.63477,1.18355,0.61257,1.5532,0.001439,0.001439,0.001439
19,26609.4,1.21922,1.00948,1.57532,0.96102,0.90722,0.96005,0.64701,1.14903,0.58634,1.51819,0.001406,0.001406,0.001406
20,27980.3,1.2168,0.98673,1.5754,0.94952,0.91918,0.95892,0.65591,1.13493,0.57384,1.52373,0.001373,0.001373,0.001373
21,29350.4,1.21269,0.98045,1.56367,0.93944,0.92847,0.96057,0.64892,1.14529,0.60012,1.52601,0.00134,0.00134,0.00134
22,30722.2,1.20256,0.95757,1.56402,0.94108,0.91621,0.96152,0.64246,1.16711,0.59187,1.54431,0.001307,0.001307,0.001307
